domain,sld,tld,availability_status,score,tag,estimated_price,keyword_score,trend_score,tld_score,brandability_score,length_score,pronounceability_score,source,fetched_at,scored_at,country
bankai.com,bankai,.com,⚠️ For Sale,88.7,High Value,86.25,85.0,88.6,100.0,87.75,85.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
healthai.com,healthai,.com,❌ Taken,87.23,High Value,69.0,85.0,90.1,100.0,84.0,74.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
coinai.com,coinai,.com,❌ Taken,87.08,High Value,86.25,85.0,89.1,100.0,79.0,85.0,60.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇺 Australia
fitai.io,fitai,.io,⚠️ For Sale,85.5,High Value,425.0,85.0,88.8,85.0,80.25,90.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
wellai.ai,wellai,.ai,⚠️ For Sale,84.75,High Value,525.0,85.0,88.4,92.0,74.25,85.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
finai.co,finai,.co,⚠️ For Sale,84.52,High Value,200.0,85.0,89.1,78.0,80.25,90.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
blockai.net,blockai,.net,❌ Taken,83.7,High Value,93.75,85.0,88.6,70.0,87.75,80.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
smartapp.com,smartapp,.com,❌ Taken,82.15,High Value,69.0,95.0,58.2,100.0,83.5,74.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
smartpro.com,smartpro,.com,❌ Taken,81.06,High Value,69.0,95.0,56.85,100.0,79.75,74.0,65.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
pixelgen.com,pixelgen,.com,❌ Taken,80.36,High Value,69.0,85.0,73.64,100.0,70.25,74.0,85.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
metaapp.com,metaapp,.com,❌ Taken,80.28,High Value,86.25,85.0,58.3,100.0,86.0,80.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
baseapp.com,baseapp,.com,❌ Taken,79.9,High Value,62.1,85.0,56.8,100.0,86.0,80.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
quantumai.net,quantumai,.net,⚠️ For Sale,79.8,High Value,54.0,85.0,90.4,70.0,72.5,67.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
shopapp.com,shopapp,.com,❌ Taken,79.6,High Value,62.1,85.0,57.6,100.0,83.5,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
autopro.com,autopro,.com,❌ Taken,79.2,High Value,62.1,85.0,61.4,100.0,76.75,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
hubcode.com,hubcode,.com,❌ Taken,79.17,High Value,62.1,85.0,52.9,100.0,87.25,80.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
chainpro.us,chainpro,.us,⚠️ For Sale,78.95,High Value,40.5,95.0,86.38,30.0,84.75,74.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
baseapp.ai,baseapp,.ai,⚠️ For Sale,78.7,High Value,378.0,85.0,56.8,92.0,86.0,80.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
streamapp.com,streamapp,.com,✅ Available,78.7,High Value,49.68,85.0,63.2,100.0,78.5,67.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇬🇧 UK
techai.us,techai,.us,✅ Available,78.4,High Value,67.5,85.0,89.4,30.0,87.75,85.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
cloudfarm.com,cloudfarm,.com,❌ Taken,77.99,High Value,49.68,85.0,59.36,100.0,79.75,67.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
earthai.in,earthai,.in,⚠️ For Sale,77.88,High Value,67.5,95.0,86.3,30.0,76.5,80.0,77.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
plancare.com,plancare,.com,❌ Taken,77.8,High Value,49.68,85.0,48.8,100.0,88.5,74.0,95.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
neuralpro.co,neuralpro,.co,✅ Available,77.65,High Value,86.4,85.0,70.2,78.0,81.0,67.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇦🇪 UAE
minthealth.com,minthealth,.com,⚠️ For Sale,77.62,High Value,49.68,85.0,61.7,100.0,78.5,60.0,82.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
pixel.com,pixel,.com,❌ Taken,77.55,High Value,82.8,80.0,50.0,100.0,85.25,90.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
bankapp.io,bankapp,.io,✅ Available,77.4,High Value,229.5,85.0,57.8,85.0,83.5,80.0,80.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
chainfarm.us,chainfarm,.us,✅ Available,77.36,High Value,40.5,95.0,86.83,30.0,79.75,67.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
lockcare.com,lockcare,.com,⚠️ For Sale,77.3,High Value,49.68,85.0,48.8,100.0,86.0,74.0,87.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
aisell.in,aisell,.in,⚠️ For Sale,77.25,High Value,67.5,85.0,87.8,30.0,84.0,85.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇮🇳 India
minecare.com,minecare,.com,❌ Taken,77.2,High Value,49.68,85.0,48.8,100.0,85.5,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇩🇪 Germany
neosmart.com,neosmart,.com,✅ Available,76.95,High Value,49.68,85.0,57.6,100.0,73.25,74.0,90.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🇺🇸 USA
mintcloud.com,mintcloud,.com,❌ Taken,76.92,High Value,49.68,85.0,59.06,100.0,74.75,67.0,70.0,generator,2026-08-20 06:20:32,2026-08-20 06:21:23,🌐 Global
